"Projektitel / Operation name";"Startdato / Operation start date";"Slutdato / Operation end date";"Prioritetsakse / Priority axis";"Budget / Budget";"EU-medfinansiering / Union co-financing";"EU-medfinansieringssats / Union co-financing rate";"Projektbeskrivelse";"Fond / Fund";"Region / Region";"Land / Country";"Kontraktansvarlig partner / Beneficiary name";"Vejnavn / Street name";"Postnr / Operation postcode";"Bynavn / City name";"Koordinat east / Coordinates east";"Koordinat north / Coordinates north";"Kontaktperson / Contacts";"Partere / Project partners"
"Fremtidens spildevandsanlæg 2.0";"20.04.2015";"28.02.2019";"4 Bæredygtig grøn byudvikling.
Energi- og ressourceeffektive byer";"9.913.180";"4.956.590";"50%";"FREMTIDENS SPILDEVANDSANLÆG 2.0Projektet implementerer dele af Vejles helhedsorienterede by-strategi: ""Viljen til bæredygtig by"".
Projektet er et udviklingsprojekt, der har som overordnet formål at understøtte og udvikle en bæredygtig cirkulære økonomi i Vejle by ved i højere grad bedre at udnytte de ressourcer, byen producerer - til gavn for miljøet, den sociale sammenhængskraft, erhvervslivet og byens evne til at modstå den domografiske udvikling og klimaforholdene.
Demonstrations- og udviklingsprojektet Fremtidens spildevandsanlæg 2.0 skabes i et tæt samarbejde mellem Vejle Kommunes Teknik & Miljø forvaltning og Vejle Spildevand A/S. Projektet har som mål, at reducere drivhusgasserne og energiforbruget i Vejle by ved at omdanne organiske affaldsfraktioner til biogas, som derefter benyttes som drivmiddel til byens renovationsbiler, offentlige transportsystem (primært bybusser) og kommunale tjenestevogne. Projektet ønsker samtidig at undersøge, hvordan overfladevand fra byen kan indgå som en integreret del af gasproduktionen og dermed erstatte vandværksvand. Endvidere vil projektet undersøge muligheden for at opnå synergi mellem de forskellige alternative drivmiddelløsninger (biogas, brint, el), der benyttes til især transport af kommunale myndigheder, institutioner og private virksomheder, så den komplimentære effekt er så høj som muligt. 
Effekten af projektet skal være at reducere energiforbruget i Vejle by. Det anslåede årlige fald i energiforbruget er 5000 gigajoule i Vejle by i 2019. Samtidig er anlægget anslået til at spare Vejle by for Co2 emissioner svarende til 800 tons årligt ved at erstatte fossile brændstoffer med gas. 
";"R";"Bæredygtig, grøn byudvikling";"Denmark";"Vejle Kommune";"Kirketorvet 22";"7100";"Vejle";"";"";"Camilla Jørgensen,76812243,camjo@vejle.dk.
Pia Andersen,76812214,piaad@vejle.dk";"Vejle Spildevand A/S"
"Øget mobilitet på tværs af landegrænser (EURES), Region Sjælland";"09.12.2014";"31.12.2017";"2 Mobilitet på tværs af landegrænser.
Mobilitet på tværs af landegrænser";"4.106.871";"2.053.435";"50%";"Mobilitet over landegrænser 
Projektet er tilknyttet det europæiske arbejdsformidlingsnetværk EURES, og bidrager dermed til en reform af netværket, som EU-Kommissionen igangsatte i 2012. Formålet med reformen er at understøtte EUs 2020-strategi for vækst og velfærd gennem målrettet fokus på mobilitet i Europa.
Danske virksomheder kan i nogle tilfælde ikke finde den rigtige arbejdskraft på det danske arbejdsmarked. Det gælder især specialister inden for industri, IT, sundhed og bioteknologi. Den globale konkurrence om de bedste medarbejdere er hård, og manglen på kvalificeret arbejdskraft kan blive en bremse på dansk økonomi. Projektets primære formål er at styrke og forny indsatsen for rekruttering og fastholdelse af højt kvalificeret arbejdskraft fra udlandet, som bidrag til vækst og velfærd. Det sker med tyngdepunkt i de tre Workindenmark-centre i København, Aarhus og Odense. Også danske ledige, der er interesseret i at arbejde i udlandet, er dog i fokus for projektet. Samtidig sker der en fornyelse af organiseringen, med omdrejningspunkt i Styrelsen for Arbejdsmarked og Rekruttering, bl.a. med henblik på at understøtte jobcentrenes indsats for international rekruttering. 
I projektperioden forventer vi at matche 1.650  højt kvalificerede udenlandske kandidater med stillinger i Region Sjælland. Desuden vil ca. 225 medfølgende ægtefæller gennemgå et træningsforløb med henblik på at styrke deres muligheder på det danske arbejdsmarked. Og vi sigter mod at danske ledige kan finde hvert år kan finde op mod 1.000 stillinger vedr. Region Sjælland på hjemmesiden www.eures.dk. Samtidig sigter vi på at styrke relationerne til jobcentrene.
";"S";"EURES";"Denmark";"Styrelsen for Arbejdsmarked og Rekruttering";"Njalsgade 72A";"2300";"København S";"725526.123";"6174490.843";"Trine Strøbech,72142412,TST@star.dk";"Styrelsen for Arbejdsmarked og Rekruttering"
"Bedre Brug af Byggeaffald i Vejle By";"20.04.2015";"28.02.2019";"4 Bæredygtig grøn byudvikling.
Byudvikl. gennem innovative virks.";"2.456.760";"1.228.380";"50%";"BEDRE BRUG AF BYGGEAFFALD I VEJLE BY
Projektet implementerer dele af Vejles helhedsorienterede by-strategi: ""Viljen til bæredygtig by"". Formålet med projektet er, at fremme bæredygtig ressourceoptimering og cirkulær økonomi inden for affaldshåndtering, byggeri, arkitektur og design gennem nye samarbejdsformer mellem private SMVer og offentlige aktører i Vejle by (Offentlig Privat Innovation, OPI). Samtidig understøtter projektet nye innovative iværksættervirksomheder eller innovative forretningsløsninger ved for eksempel af inddrage socialøkonomiske virksomheder, der kan spille en rolle i forhold til udsatte grupper i Vejle By til gavn for en social bæredygtighedsdimension. 
En vis del af byggeaffaldet genanvendes i dag, men der er behov for langt smartere metoder og mere intelligente løsninger for at fremme den cirkulære økonomi inden for byggeaffald ved at tænke i forskellige tilgange:Reducér byggeaffald (Reduce) = reduktions af affaldRecirkulér byggeaffald (Recircle) = genanvendelse i nyt byggeriOptimér byggeaffald (Upcircle) = nye produkter i ny kontekst. 
Den grundlæggende idé er derfor, at skabe et triple helix udviklingsrum med deltagelse af aktører og interessenter, som ikke normalt samarbejder direkte om byggeaffald, bl.a. designere, arkitekter og håndværkere. De centrale erhvervsaktører er SMV'er i Vejle by, herunder producenter, håndværkere, entreprenører, private bygherre og andre inden for bygge- og anlægsindustrien. Udviklingsrummet vil konkret være en række innovationslaboratorier. Opdraget er:At udvikle cirkulære løsningsmodeller i forhold til byggeaffald, som en værdifuld ressourceAt finde svar på de udfordringer Vejle by står overfor jf. den integrerede byudviklingsstrategiAt skabe konkrete business cases omkring nye produkter, metoder eller konkrete virksomheder, som enten kan begrænse tilgangen af byggeaffald.
Det forventes, at 40 virksomheder vil arbejde med nye innovative løsninger, 10 virksomheder vil udvikle koncepter til nye produkter eller løsninger og effekten vil være, at cirka 5 SMV' er vil implementere disse løsninger. 
";"R";"Bæredygtig, grøn byudvikling";"Denmark";"Vejle Kommune";"Kirketorvet 22";"7100";"Vejle";"";"";"Camilla Jørgensen,76812243,camjo@vejle.dk.
Pia Andersen,76812214,piaad@vejle.dk";""
"KOMPETENCEFORSYNINGmidt (akse 1)";"18.09.2014";"28.02.2017";"1 Iværksætteri og jobskabelse.
Arbejdsstyrkens tilpasn. til forandr";"6.500.000";"3.250.000";"50%";"KOMPETENCEFORSYNINGmidt (akse 1) har til formål at gennemføre vækstrettet kompetenceudvikling for virksomheder (SMVer), med baggrund i vækststrategiernes identificerede kompetencebehov.Projektaktiviteter:1) Rekruttering; der rekrutteres 45 virksomheder til at tage del i projektets afklarings- og kompetenceudviklingsaktiviteter. Der tages alene udgangspunkt i de virksomheder der allerede har en vækststrategi, men selve rekrutteringsopgaven er med henblik på at skabe større kendskab og forståelse for virksomhedernes udfordringer og behov. 2) Kompetenceafklaring og kompetenceudviklingsstrategi; medarbejderne i de kvalificerede SMVer får identificeret deres kompetenceudviklingsbehov holdt op imod de behov identificeret i virksomhedernes vækststrategier. Denne afklaring fører til en kompetenceudviklingsstrategi der efterfølges af konkret kompetenceudvikling. 3 og 4) Kompetenceudvikling af medarbejdere og ledere; der gennemføres kompetenceudviklingsforløb i forlængelse af kompetenceafklaringen for en betydelig del af de deltagende virksomheders medarbejdere og ledere. Der vil være tale om specifikt sammensatte forløb som udspringer af de enkelte virksomheders behov (jf. vækststrategi), men dele af disse forløb/kurser kan i forvejen findes under fx AMU eller VEU. Der kan konkret være tale om omskoling af medarbejdere, tilknytning af højtuddannet arbejdskraft eller etablering af virksomhedsnetværk med en vækst- og kompetenceudviklingsdagsorden. Der vil være fokus på, at de 225 kompetenceudviklede medarbejdere og ledere tilegner sig nye vækstrettede kompetencer.Resultatmål: 1) 400 virksomheder modtager en rekrutteringsydelse mhp. at kvalificere den enkelte virksomhed til projektets hovedaktivitet og -formål, vækstrettet kompetenceudvikling. 2) 45 virksomheder modtager kompetenceafklaring mhp. identificering af kompetenceudviklingsstrategier som udspringer af den pågældende virksomheds vækststrategi. 3) 200 medarbejdere gennemfører vækstrettet kompetenceudvikling. 4) 25 ledere gennemfører vækstrettet kompetenceudvikling.
";"S";"Midtjylland";"Denmark";"Væksthus Midtjylland";"Åbogade 15";"8200";"Århus N";"573736.19";"6225873.52";"Annemarie Elverum,20 33 90 20,ae@vhmidtjylland.dk.
Lars Noesgaard Zederkof,29 24 88 68,lan@vhmidtjylland.dk";"AARHUS TECH.
UCH Uddannelsescenter Holstebro.
Mercantec"
"VirksomhedsPorten - Porten til Arbejdsmarkedet i Region Syddanmark";"12.05.2015";"28.02.2019";"3 Social inklusion.
Aktiv inklusion";"32.337.158";"16.168.579";"50%";"Den socialøkonomiske virksomhed Virksomhedsporten A/S og den erhvervsrettede uddannelsesinstitution Tietgen KompetenceCenter indgår i dette projekt et nyskabende samarbejde. Projektet ønsker at afprøve og udbrede en indslusningsmodel, der via socialøkonomiske virksomheder forbedrer og øger beskæftigelsen for personer på kanten af arbejdsmarkedet. Parterne i projektet supplerer og komplementerer hinanden på afgørende parametre som henholdsvis privat virksomhed og erhvervsuddannelsesinstitution. 
I projekt VirksomhedsPorten  Porten til arbejdsmarkedet i Region Syddanmark, kombineres partnerskabet i en konstellation, hvor konkret optræning i og udførelse af arbejdsfunktioner i den socialøkonomiske virksomhed kombineres med differentieret færdigheds- og kompetenceudvikling på arbejdspladsen ud fra den enkeltes forudsætninger og behov. Gennem disse særligt tilrettelagte spor- og aktivitetsforløb i socialøkonomisk virksomhed indsluses deltagere, som er fleksjobvisiterede og aktivitetsparate kontanthjælpsmodtagere, til arbejdsmarkedets krav og opgaver via praktikforløb i private virksomheder. 
Gennem indslusningsforløbene, optræning og kompetencetræning, opnår deltagerne øget kendskab til arbejdsmarkedets krav og egen formåen og øger derved deres mulighed for beskæftigelse. Ved fokuseret opfølgning på deltagerens individuelle progression styrkes arbejdsevne og arbejdsidentitet med øget motivation til følge.Deltagerne bringes tættere på arbejdsmarkedet og kan efter endt projektforløb indgå som ordinær arbejdskraft i virksomheder og/eller en socialøkonomisk virksomhed. 
Øget samspil med det private erhvervsliv i lokalområdet er ligeledes et vigtigt omdrejningspunkt i projektet. Projektet indgår aftaler med private virksomheder i lokalområdet inden for f.eks. produktion, montage, pakning, rengøring, service, markedsføring, vedligehold af udendørsarealer m.v.  
Målet med projektet er permanent indslusning til arbejdsmarkedet samt at sikre udbredelse af socialøkonomiske virksomheder og indslusningsmodellen.
";"S";"Syddanmark";"Denmark";"TietgenSkolen";"Ejlskovsgade 3";"5000";"Odense C";"587743.59";"6140636.91";"Kim Tværgaard Larsen,20702675,kila@tietgen.dk";"Virksomhedsporten A/S"
"AutoTurf: Energieffektiv autonom robot til græspleje på golfbaner";"12.05.2015";"28.02.2019";"1 Styrket innovation i SMVer.
Innovation og videndeling.
ERDF-1.1.1 Regional innovationskapacitet";"9.956.351";"4.978.176";"50%";"Formålet med AutoTurf projektet er at udvikle, afprøve og dokumentere en løsning til energieffektiv og automatiseret græspleje på golfbaner.
Baseret på en innovativ prototype af en autonom robot, som kan monteres med forskellige værktøjer til græspleje (klipning, slåning og vertikalskæring), bliver der gennem en omfattende innovationsindsats skabt grundlag for et færdigt koncept til en fuldt funktionsdygtig autonom robot til græspleje. Derved etableres mulighed for at markedsintroducere et nyt produkt til automatiseret og multifunktionel græspleje på større sammenhængende arealer. Hér findes ikke for øjeblikket godkendte autonome robotter, som dækker kravene til professionelle high-end maskiner.
AutoTurf er opbygget af følgende elementer:(1) Grundmaskine med en hybridelektrisk drivlinje som leverer energi til hjulmonterede fremdriftsmotorer såvel som elektrisk drevne græsplejeværktøjer monteret i et ophæng så de på en enkel måde kan udskiftes,(2) Autonom styringsenhed med en GPS-styret brugervenlig kontrolenhed der giver præcis kursstyring, optimal frekvens, mønster og køreadfærd for græspleje, og(3) Sikkerhedssystem bestående af patentanmeldt og godkendt maskinafskærmning med indbygget laserscannersystem og nødstop kontaktflade.Innovationsindsatsen i AutoTurf projektet frembringer ny viden og færdigheder målrettet centrale elementer, der er en forudsætning for energieffektive autonome robotter: sikkerhedsafskærmning, hybridelektrisk drivlinje, kurs- og positioneringssystem, energioptimeret ruteplanlægning, og brugerstyring.
Projektet hviler på Region Syddanmarks viden og kompetencer inden for energieffektivisering, mekatroniske systemer og autonom robotteknologi.
Det innovative AutoTurf koncept med en energieffektiv autonom robot til græspleje på større sammenhængende græsarealer er især nyskabende ved, at der skabes mulighed for fuld automatisering af en omfangsrig og stærkt rutinepræget græsplejeopgave. Derved bliver klassiske automatiseringsfordele introduceret, hvilket reducerer driftsomkostninger til personale, brændstof og maskinafskrivninger. Samtidigt mindskes forbruget af pesticider og gødning som følge af optimeret græspleje. Den autonome robotløsning lægger sig ind under megatrenden for udvikling af selvkørende køretøjer. AutoTurf forventes at opleve stor efterspørgsel i markedet for professionel græspleje. Værdiskabelsen vil være lokaliseret i et af Region Syddanmark yderområder.
";"R";"Syddanmark";"Denmark";"Sidis Engineering ApS";"Ellegårdvej 36";"6400";"Sønderborg";"551695.775";"6087179.428";"Kenneth Skovbo Lott,,ksl@sidis.dk.
Per Viggo Rasmussen,,pvr@sidis.dk";"Syddansk Universitet.
CLEAN.
Banke ApS.
Maack IT ApS"
"Zealand Global - Flere internationale vækstvirksomheder i Region Sjælland";"01.06.2015";"31.05.2018";"2 Flere vækstvirksomheder.
Udvikle og genn.f. nye vækstpl. SMV";"25.161.616";"12.580.808";"50%";"Zealand Global - Flere internationale vækstvirksomheder i Region Sjælland.
Projektets formål er at hjælpe 80 små og mellemstore virksomheder i Region Sjælland med at professionalisere deres internationaliseringsindsats i en sådan grad, at mindst halvdelen af virksomhederne rykker op i ligaen af vækstvirksomheder i OECD-terminologi. Målsætningen vil projektet opnå ved at styrke virksomhedernes internationaliseringspotentiale gennem udvikling af en individuel detaljeret international vækst- og eksekveringsplan i tæt samarbejde mellem virksomheden, Væksthus Sjælland, DTU og private rådgivere. Projektet skal understøtte virksomhedernes evne til at eksekvere hurtigt og effektivt på de rette aktiviteter i udlandet. 
Projektet lægger tæt op ad Væksthus Hovedstadens internationaliseringsprojekt Vækst via internationalisering, som har til formål at øge andelen af vækstvirksomheder i Region Hovedstaden. En positiv sideeffekt er, at Region Sjællands virksomheder derved samtidig gør sig konkurrencedygtige i strategien om at skabe et Greater Copenhagen. 
DTU Management Engineering, som blandt andet har ledelse af innovationsprocesser som et vigtigt kerneområde, er partner på projektet. 
Forløbet indeholder både kollektive træningscamps og individuel rådgivning ved private rådgivere. Temaerne på træningscamps vil bl.a. være forretningsmodel, partnerhåndtering og innovation management på internationale markeder. Sideløbende hermed vil virksomhederne blive tilbudt branchenetværk og introduktion til det marked, de ønsker at komme i gang på.
";"R";"Sjælland";"Denmark";"Den Erhvervsdrivende Fond Væksthus Sjælland";"Marienbergvej 132";"4760";"Vordingborg";"685015.4";"6098352.47";"Jonas Ørts Holm,22575317,jh@vhsj.dk";"Danmarks Tekniske Universitet"
"Design Business Boot Camp";"02.12.2014";"31.08.2019";"1 Iværksætteri og jobskabelse.
Iværksætteri";"6.033.646";"3.016.823";"50%";"Iværksætteri  Design Business Boot CampFormål: Projektets formål er at etablere en Boot Camp, hvor nationale og internationale designstuderende med iværksætterdrømme inviteres til at adressere designsatsningens temaer: Velfærdsdesign, bæredygtigt design samt leg og design. Endelig vil der blive en boot camp, som først tematiseres i 2016 med udgangspunkt i de tendenser, som klyngens øvrige udvikling har påvist.Forventede effekter: Der forventes en anslået skabt årlig omsætning på 10, 8 mio. kr., heraf 5,4 mio. kr. i projektperioden og 5,4 mio. kr. efter projektets afslutning. Aktiviteter: Boot Campen vil omfatte studerende på første år af deres kandidatuddannelse, og målet er bl.a. at finde minimum tolv designstuderende, som med sikkerhed har talentet til at udvikle en succesfuld virksomhed. Disse vil blive inviteret til at blive en del af The Nest, en rugekasse, hvori de kan lave deres afgangsprojekt og samtidig etablere deres virksomhed. De fire Design Business Boot Camps vil bygge på et gennemprøvet format  men den grundlæggende intention vil være at udvikle deltagernes entrepreneurielle kompetencer og forståelse for iværksætteri. Fokus vil være at få en bedre forståelse for, hvordan en idé gøres bæredygtig og relevant teknisk, forretningsmæssigt og i forhold til en kreds af brugere. Samtidig vil der være fokus på forretningsopbygning, samarbejdsformer, netværk og ekspertvalidering af den enkelte idé - i et gennemprøvet format, som både erhvervsliv, forskere, studerende og de afleverende designskoler verden over, har set store muligheder i og effekt af.Design Business Boot Camp er det første projekt af sin art, hvor der arbejdes med design som en strategisk tilgang til innovation og forretningsudvikling på tværs af brancher. Andre projekter i verden, arbejder med design som delmængder af den kreative industri, som fx møbelbranchen, lædervarer som sko og tasker eller mode. Potentialet for projektet er derfor stort, da det kan realisere innovations- og vækstpotentiale for en langt større gruppe virksomheder, end blot indenfor en specifik branche.Yderligere oplysninger: Foreningen Design2innovate er kontraktansvarlig partner og Designskolen Kolding er økonomisk partner i projektet. 

";"S";"Syddanmark";"Denmark";"Foreningen Design2innovate";"Ågade 10";"6000";"Kolding";"530356.003";"6149014.904";"Finn Christensen,24623248,finn@d2i.dk";"Designskolen Kolding"
"Growth Catalyst";"02.12.2014";"31.08.2019";"2 Flere vækstvirksomheder.
Udvikle og genn.f. nye vækstpl. SMV";"6.204.532";"3.102.266";"50%";"Formålet med Growth Catalyst-projektet er at identificere og udvikle regionale virksomheder (SMV'er) med erhvervsmæssigt potentiale til vækstvirksomheder. 
Design kan ses som et vækstfremmende hormon for udviklingen i virksomheder og organisationer. Virksomheder der anvender design strategisk og som innovationsdriver klarer sig markant bedre end virksomheder der ikke gør. 
Projektet vil vurdere små og mellemstore virksomheder omkring D2i-klyngen og udnytte de tætte relationer til Væksthus Syddanmark og de lokale erhvervsfremmeaktører til at identificere screenings-kandidater. D2i screener virksomheder for vækstpotentiale og kvalificerer udvalgte virksomheder til vækstforløb, hvor de kan få økonomisk støtte til udarbejdelse af en strategisk vækstplan. 
Vækstplanen skal adressere og give virksomheden konkret strategisk input og retning i forhold til et eller flere af disse emner:
- Fokus for udvikling af nye produkter og/eller services
- Udnyttelse af muligheder i ny teknologi 
- Potentiale i eksport og nye markeder
- Indsigt i eksisterende og nye kundesegmenter 
- Realisering af forretningspotentialet i nye ideer, 
- Bedre udnyttelse af ressourcer, energi og materialer.
På baggrund af den konkrete vækstplan, vil virksomheden have defineret en strategisk retning på det fremtidige innovations- og udviklingsarbejde. Virksomheden vurderes indledningsvis på organisatorisk motivation og tilgængelighed.
Projektet gennemføres i sammenhæng med en række andre Regional- og Socialfondsprojekter, herunder Growth by Design, 
Design Innovation og Design Business Bootcamp. 
Growth Catalyst-projektet støtter ikke implementering af vækstplanen.
";"R";"Syddanmark";"Denmark";"Foreningen Design2innovate";"Ågade 10";"6000";"Kolding";"530356.003";"6149014.904";"Finn Christensen,24623248,finn@d2i.dk";"Designskolen Kolding"
"Growth by Design";"02.12.2014";"31.08.2019";"1 Styrket innovation i SMVer.
Innovation og videndeling";"28.344.095";"14.172.048";"50%";"Styrket innovation i SMVer  Growth by Design Formål: Projektets formal er at udnytte designbaseret viden og forskning til at styrke syddanske virksomheders innovations- og konkurrenceevne. Forventede resultater: Projektet forventer at skabe 73 nye innovative virksomheder i projektperioden, skabe en øget årlig omsætning på kr. 113.980.000 samt 138 nye jobs. Aktiviteter: Fokus er at udnytte designbaseret viden og forskning til at styrke syddanske virksomheders innovations- og konkurrenceevne gennem følgende aktiviteter: A. Play User LAB: Evnen til at finde kreative løsninger på komplekse udfordringer er essentiel i fremtidens samfund. Vi skal leve af innovation og vores præmis er, at leg skal hjælpe os til bedst at udfolde vores læring og kreativitet. Forskning viser, at der er et gyldent vindue, hvor mennesket bedst tilegner sig de metoder og værktøjer, der resten af livet fungerer som katalysatorer for vores målgruppe, som er virksomheder der ønsker at styrke de kreative og innovative evner gennem leg og/eller har børn som målgruppe for produkter og løsninger. B. Sustainability LAB: Forbedring af virksomheders innovationsevne gennem brug af designmetoder og processer i udvikling af nye produkter, services og systemer, herunder øget fokus på bæredygtige elementer og involvering af brugere og stakeholders. C. Value Chain Innovation: Værdikædeforløb mellem virksomheder, hvor der arbejdes med nye metoder til at styrke og facilitere samarbejde på tværs i værdikæden. Målgruppen er virksomheder, leverandører og kunder, som ønsker at styrke relationerne og dermed værdiskabelse i hele værdikæden. D. Reframe the Future: Strategiske udviklingsforløb mellem virksomheder, offentlige aktører, videninstitutioner og andre aktører, der vil udvikle løsninger på større samfundsmæssige udfordringer. Der ligger et stort forretningsmæssigt potentiale i at adressere udfordringer, der i deres natur er så omfattende og komplekse, at de kan være svære at definere og løse af en enkelt aktør. Målgruppen er særdeles innovative og udviklingsparate virksomheder, der ønsker at indgå i tværfaglige udviklingssamarbejder.Yderligere oplysninger: Foreningen Design2innovate er kontraktansvarlig partner. Designskolen Kolding, Syddansk Universitet og COC Company A/S er økonomiske partnere i projektet. 
";"R";"Syddanmark";"Denmark";"Foreningen Design2innovate";"Ågade 10";"6000";"Kolding";"530356.003";"6149014.904";"Finn Christensen,24623248,finn@d2i.dk";"COC Company A/S.
Designskolen Kolding.
Syddansk Universitet"
"Fremtidens IT kompetencer";"12.05.2015";"30.04.2017";"1 Iværksætteri og jobskabelse.
Arbejdsstyrkens tilpasn. til forandr";"6.021.678";"2.901.678";"48%";"Fremtidens IT kompetencer.
IKT-virksomheder der arbejder inden for regionens forretningsområde Sundheds- og velfærdsteknologi oplever en stor mangel på kompetent arbejdskraft. Projektet Fremtidens IT kompetencer iværksætter derfor en ny og anderledes kvalificeringsindsats for 30 højtuddannede. Målet er at skabe vækst ikke kun i IKT-virksomhederne, men hos alle aktører i den velfærdsteknologiske værdikæde.
Projektet etablerer et 4 måneders kvalificeringsforløb, der skræddersyes til den enkelte medarbejder, med udgangspunkt i de, for IKT-virksomhedernes, på forhånd udarbejdede vækstplaner. Kvalificeringen retter sig eksplicit mod forretningsområdet sundheds- og velfærdsteknologi. Den enkelte virksomheds ledelse medvirker aktivt ved kvalificeringen  dels ved at præcisere de efterspurgte kompetencekrav ud fra virksomhedens vækstplan  dels ved at involvere medarbejderen i det faktiske vækstsamarbejde, man fx kunne have med en offentlig institution inden for forretningsområdet. Medarbejderen vil således opleve, at læring og træning dels sker kollektivt sammen med andre medarbejdere og dels gennem løsning af konkrete/realistiske arbejdsopgaver inden for sundheds- og velfærdsinnovation i IKT-virksomheden under ledelse af virksomhedens leder/ejer. Virksomhedens leder optræder som mentor for den ansatte. 
Kvalificeringsforløbet består af flere elementer. Medarbejderne kvalificeres inden for nyeste IKT-teknologi (specielt Big Data og Cloud). Da projektindsatsen har fokus på, at medarbejderne ganske hurtigt skal skabe værdi for virksomheden, indgår også andre kompetencefelter i kvalificeringsforløbet. En hybrid læringstilgang er vigtig i relation til at udvikle systemer, produkter og services inden for sundheds- og velfærdsteknologi, fx i samarbejde med offentlige aktører.
Projektets målgruppe er 30 medarbejdere. Kvalificeringsforløbet varer 4 måneder og understøtter virksomhedernes vækstplaner, herunder medvirker til jobskabelse og etableringen af nye vækstvirksomheder.
";"S";"Syddanmark";"Denmark";"Akademikernes A-kasse";"Vester Farimagsgade 13";"1606";"København V";"723937.256";"6175791.965";"Karina Weidner,,kwe@aka.dk.
Tine Bolvig,,tbo@aka.dk";""
"Højskolen som genvej til uddannelse";"25.08.2014";"31.12.2017";"3 Social inklusion.
Aktiv inklusion";"16.240.700";"6.443.205";"40%";"Højskolen som genvej til UddannelseProjektet skal forsøge at bruge højskolen som genvej til uddannelse og erhverv i hele Region Nordjylland. Projektet skal gennem højskolekursus med særligt fokus på at motivere og afklare den unge, skabe en ny chance til unge, der skal hjælpes ind i uddannelsessystemet. Der mangler faglært arbejdskraft i Nordjylland indenfor bygge og anlæg og sundhedsområdet, og derfor vejleder projektet ikke kun mod ungdomsuddannelse, men også mod uddannelse til job. Projektet skal løbe over en treårig periode i tæt samarbejde med regionens erhvervsliv og hele vejledningssystemet med tre hovedlinjer: Turisme, Bygge- og anlæg og Sundhed. Ideen er, at hjælpe op til 140 unge med at opnå faglige kompetencer, dannelsesmæssige aspekter og vigtigst at påbegynde en uddannelse. Unge, der ikke er kommet helskindet ud af den almindelige skolegang, og både mangler kundskaber, men også mangler en idé om, hvor deres liv er på vej hen. Hovedaktiviteterne i projektet omfatter: 1. etablering af en projektorganisation, 2. kompetenceudvikling af undervisere, 3. undervisning og læringsmiljø, 4. praktik og brobygning og endelig 5. følgeforskning.Projektet tager udgangspunkt i de effekter og output, som vi har ønsket at opnå med deltagerne i løbet af de uger, hvor de er tilknyttet projektet. Det er, at de opnår faglige kompetencer, dannelsesmæssige aspekter og opnåelse af målrettethed i forhold til uddannelse og erhverv. I forhold til at opnå den udvikling, er der opstillet 3 effektmål, som skal nås under vejs, samt et endeligt output mål. De unge skal følge et højskoleforløb der har alle højskolens dannelsesmæssige kvaliteter, men samtidig fokuserer de på et linjefag, der er tilrettelagt med henblik på at opfylde projektets egentlige formål, vækst gennem uddannelse. Resultaterne forankres i regionen via et udbygget samarbejde med erhvervsliv og vejledningssystemet, således at projektet efter de tre år er bæredygtigt i sig selv. 
";"S";"Nordjylland";"Denmark";"Vrå Højskole";"Højskolevej 1";"9760";"Vrå";"556350.246";"6357451.783";"Pia Schnoor,+45 20891623,pia@vraahojskole.dk";"Nordjyllands Idrætshøjskole"
